,Name,Class,Rarity,Slot,Type,PVE Rating,PVP Rating,Link,Image
19,Thorn,-,Exotic,Kinetic,HandCannon,4.4,4.6,https://www.light.gg/db/items/3973202132,https://www.bungie.net/common/destiny2_content/icons/d9fdb6774ff70cccd4161c13885d1258.jpg
20,Arbalest,-,Exotic,Kinetic,LinearFusionRifle,4.7,3.9,https://www.light.gg/db/items/2130065553,https://www.bungie.net/common/destiny2_content/icons/c95ea75fe09d9f090a88d5322923d07a.jpg
21,Bad Juju,-,Exotic,Kinetic,PulseRifle,4.4,3,https://www.light.gg/db/items/2816212794,https://www.bungie.net/common/destiny2_content/icons/a7cc8a658f8196f13cdde9d72ca9945d.jpg
22,No Time to Explain,-,Exotic,Kinetic,PulseRifle,4.5,4.8,https://www.light.gg/db/items/1594120904,https://www.bungie.net/common/destiny2_content/icons/8a79a43912129240ee9f70e8e6bcfd6d.jpg
23,Outbreak Perfected,-,Exotic,Kinetic,PulseRifle,4.9,4.5,https://www.light.gg/db/items/400096939,https://www.bungie.net/common/destiny2_content/icons/a1b6a5f3e52878610397249986300b23.jpg
24,Revision Zero,-,Exotic,Kinetic,PulseRifle,3.9,4.2,https://www.light.gg/db/items/1473821207,https://www.bungie.net/common/destiny2_content/icons/040a104defcc7011b570886e3ec3c73f.jpg
25,Vigilance Wing,-,Exotic,Kinetic,PulseRifle,2.8,4.9,https://www.light.gg/db/items/3628991659,https://www.bungie.net/common/destiny2_content/icons/f33eed8e9c72f0e326d60691ec6e0f81.jpg
26,Dead Man's Tale,-,Exotic,Kinetic,ScoutRifle,4.2,4.6,https://www.light.gg/db/items/3654674561,https://www.bungie.net/common/destiny2_content/icons/cfc2c246cfd404d749fffbfe3ae3dfec.jpg
27,MIDA Multi-Tool,-,Exotic,Kinetic,ScoutRifle,3.5,4.3,https://www.light.gg/db/items/1331482397,https://www.bungie.net/common/destiny2_content/icons/eb279fe06dcd9199fccda5120e244a63.jpg
28,The Jade Rabbit,-,Exotic,Kinetic,ScoutRifle,1.8,4.1,https://www.light.gg/db/items/3844694310,https://www.bungie.net/common/destiny2_content/icons/f513e68c68d76392cffd52d94cc1410a.jpg
29,Touch of Malice,-,Exotic,Kinetic,ScoutRifle,4.4,3.9,https://www.light.gg/db/items/1802135586,https://www.bungie.net/common/destiny2_content/icons/106a8a40a6e55b5ec5088a26d1ed979d.jpg
30,Conditional Finality,-,Exotic,Kinetic,Shotgun,4.9,4.4,https://www.light.gg/db/items/3371017761,https://www.bungie.net/common/destiny2_content/icons/c9b4d65adcdfcadde871e5961ce912fb.jpg
31,The Chaperone,-,Exotic,Kinetic,Shotgun,3.4,4.8,https://www.light.gg/db/items/3413860062,https://www.bungie.net/common/destiny2_content/icons/1d387ba81462f8f5abb63b4492b10dbe.jpg
32,Cryosthesia 77K,-,Exotic,Kinetic,Sidearm,3.1,2.4,https://www.light.gg/db/items/603721696,https://www.bungie.net/common/destiny2_content/icons/285bb2a7a6f016c151624b12a4681cca.jpg
33,Final Warning,-,Exotic,Kinetic,Sidearm,4.9,4.1,https://www.light.gg/db/items/3121540812,https://www.bungie.net/common/destiny2_content/icons/e8030d75835eaf1c9014f2d63338d518.jpg
34,Forerunner,-,Exotic,Kinetic,Sidearm,4.1,4.7,https://www.light.gg/db/items/2179048386,https://www.bungie.net/common/destiny2_content/icons/50d67833eda8bb60a81803de7d901457.jpg
35,Rat King,-,Exotic,Kinetic,Sidearm,4.4,4.5,https://www.light.gg/db/items/2362471601,https://www.bungie.net/common/destiny2_content/icons/b86c24934b3ec9954218ecfa0992aeb2.jpg
36,Traveler's Chosen,-,Exotic,Kinetic,Sidearm,4.6,4.6,https://www.light.gg/db/items/1853180924,https://www.bungie.net/common/destiny2_content/icons/6f0f3ab28d86316feb7fe27c5855ab4c.jpg
37,Izanagi's Burden,-,Exotic,Kinetic,SniperRifle,4.7,3,https://www.light.gg/db/items/3211806999,https://www.bungie.net/common/destiny2_content/icons/8763caf9bfb147a41f3e34ec7eaf876b.jpg
38,Osteo Striga,-,Exotic,Kinetic,SubmachineGun,4.8,4.1,https://www.light.gg/db/items/46524085,https://www.bungie.net/common/destiny2_content/icons/2752ee2761149f004df20e78749c1bab.jpg
39,The Huckleberry,-,Exotic,Kinetic,SubmachineGun,4.6,3.5,https://www.light.gg/db/items/2286143274,https://www.bungie.net/common/destiny2_content/icons/1d3447f547dbfb395720aad4c0921018.jpg
40,Ager's Scepter,-,Exotic,Kinetic,TraceRifle,4.9,3.2,https://www.light.gg/db/items/1833195496,https://www.bungie.net/common/destiny2_content/icons/252db75c7ea885016f17895e2a154503.jpg
41,The Navigator,-,Exotic,Kinetic,TraceRifle,4.3,4.2,https://www.light.gg/db/items/1441805468,https://www.bungie.net/common/destiny2_content/icons/4984c634a7d2eca3baafc000a121263d.jpg
42,Centrifuse,-,Exotic,Energy,AutoRifle,4.4,4,https://www.light.gg/db/items/1912669214,https://www.bungie.net/common/destiny2_content/icons/8c1a4a500934d67ecdb02455820c9b67.jpg
43,Hard Light,-,Exotic,Energy,AutoRifle,4.2,4.5,https://www.light.gg/db/items/4124984448,https://www.bungie.net/common/destiny2_content/icons/94e6e474b4488d5a198b5dcbad534c3e.jpg
44,Tommy's Matchbook,-,Exotic,Energy,AutoRifle,4.5,3.8,https://www.light.gg/db/items/776191470,https://www.bungie.net/common/destiny2_content/icons/251630147cd942ade9414781e96237ec.jpg
45,Hierarchy of Needs,-,Exotic,Energy,CombatBow,4.2,2.7,https://www.light.gg/db/items/4174431791,https://www.bungie.net/common/destiny2_content/icons/8c32410000243e6024130f755b23fbe6.jpg
46,Le Monarque,-,Exotic,Energy,CombatBow,4.6,4.4,https://www.light.gg/db/items/3588934839,https://www.bungie.net/common/destiny2_content/icons/5f858cb4661c605d18e3dc0b62cc4aaa.jpg
47,Ticuu's Divination,-,Exotic,Energy,CombatBow,4.6,3.4,https://www.light.gg/db/items/3260753130,https://www.bungie.net/common/destiny2_content/icons/39ef1673136f2f463879a83a44f11b0d.jpg
48,Trinity Ghoul,-,Exotic,Energy,CombatBow,4.9,2.7,https://www.light.gg/db/items/814876685,https://www.bungie.net/common/destiny2_content/icons/ab33a7c7024299b28d8c6410d63e5bb5.jpg
49,Delicate Tomb,-,Exotic,Energy,FusionRifle,4.4,2.7,https://www.light.gg/db/items/374573733,https://www.bungie.net/common/destiny2_content/icons/8a626d617f8e503df45142835bb5b659.jpg
50,Jötunn,-,Exotic,Energy,FusionRifle,4.2,4.6,https://www.light.gg/db/items/417164956,https://www.bungie.net/common/destiny2_content/icons/ec202c839348294926428ecb5a7423eb.jpg
51,Merciless,-,Exotic,Energy,FusionRifle,4.5,3.6,https://www.light.gg/db/items/4190156464,https://www.bungie.net/common/destiny2_content/icons/f3714197408d2c8935a2ce7be69a210c.jpg
52,Telesto,-,Exotic,Energy,FusionRifle,4.9,4.9,https://www.light.gg/db/items/2208405142,https://www.bungie.net/common/destiny2_content/icons/44cffedea1b6bc9800da018f2bd431dd.jpg
53,Vex Mythoclast,-,Exotic,Energy,FusionRifle,4.3,4,https://www.light.gg/db/items/4289226715,https://www.bungie.net/common/destiny2_content/icons/111a10b59029fc6a9ca5e821267e6f6c.jpg
54,Vexcalibur,-,Exotic,Energy,Glaive,4.6,2.5,https://www.light.gg/db/items/3118061005,https://www.bungie.net/common/destiny2_content/icons/735baec8c23ff1416ae6a8c72c729432.jpg
55,Dead Messenger,-,Exotic,Energy,GrenadeLauncher,4.4,2.7,https://www.light.gg/db/items/2812324401,https://www.bungie.net/common/destiny2_content/icons/0824b34bb37e0bb7c32b91adf6dcb79e.jpg
56,Fighting Lion,-,Exotic,Energy,GrenadeLauncher,4.2,4.1,https://www.light.gg/db/items/3549153978,https://www.bungie.net/common/destiny2_content/icons/836a2f75cfa67de87a8a73f3c61f7f78.jpg
57,Eriana's Vow,-,Exotic,Energy,HandCannon,4.6,4,https://www.light.gg/db/items/3524313097,https://www.bungie.net/common/destiny2_content/icons/588133859fa98c801d8a9d66ea6aae2f.jpg
58,Sunshot,-,Exotic,Energy,HandCannon,4.8,4,https://www.light.gg/db/items/2907129557,https://www.bungie.net/common/destiny2_content/icons/f45a7d8e52bf0d88bbd43d4354878313.jpg
59,Lorentz Driver,-,Exotic,Energy,LinearFusionRifle,4.3,4.7,https://www.light.gg/db/items/3761898871,https://www.bungie.net/common/destiny2_content/icons/4d6d145ff3a33a0a30407cc60d7e9e3b.jpg
60,Collective Obligation,-,Exotic,Energy,PulseRifle,4.2,3,https://www.light.gg/db/items/3505113722,https://www.bungie.net/common/destiny2_content/icons/238ab90ba2f858ebb8a5a1797a13fdd4.jpg
61,Graviton Lance,-,Exotic,Energy,PulseRifle,4.4,4.1,https://www.light.gg/db/items/3628991658,https://www.bungie.net/common/destiny2_content/icons/ce9043979a6e35bf4d3952f5cf251a49.jpg
62,Polaris Lance,-,Exotic,Energy,ScoutRifle,4.5,3.7,https://www.light.gg/db/items/3413074534,https://www.bungie.net/common/destiny2_content/icons/a22adf5ee0096e1cb9a6e212ee591b70.jpg
63,Skyburner's Oath,-,Exotic,Energy,ScoutRifle,3.5,2.5,https://www.light.gg/db/items/4255268456,https://www.bungie.net/common/destiny2_content/icons/fc7d4da29a642c1117897e6a4b8db543.jpg
64,Symmetry,-,Exotic,Energy,ScoutRifle,4.1,4.3,https://www.light.gg/db/items/4017959782,https://www.bungie.net/common/destiny2_content/icons/55f9629f4674c351e3a2efd9ab9ca6e9.jpg
65,Duality,-,Exotic,Energy,Shotgun,3.6,4.2,https://www.light.gg/db/items/3460576091,https://www.bungie.net/common/destiny2_content/icons/084c8f65d56ce5d74718d49b17874315.jpg
66,Lord of Wolves,-,Exotic,Energy,Shotgun,3.5,3.2,https://www.light.gg/db/items/3413860063,https://www.bungie.net/common/destiny2_content/icons/6bd65ae8981e4cac3c00825abedd3fbb.jpg
67,The Fourth Horseman,-,Exotic,Energy,Shotgun,4.7,3.3,https://www.light.gg/db/items/1665952087,https://www.bungie.net/common/destiny2_content/icons/74e1434dd585c5c305f4d331d05895c6.jpg
68,Devil's Ruin,-,Exotic,Energy,Sidearm,4.3,4.3,https://www.light.gg/db/items/3824106094,https://www.bungie.net/common/destiny2_content/icons/92cdbf57fe2a29cad14d18e33689463b.jpg
69,Trespasser,-,Exotic,Energy,Sidearm,3.1,3.4,https://www.light.gg/db/items/1234150730,https://www.bungie.net/common/destiny2_content/icons/7c997d607157b4f4c9bc5cbd273198e8.jpg
70,Borealis,-,Exotic,Energy,SniperRifle,3.9,3.2,https://www.light.gg/db/items/3141979347,https://www.bungie.net/common/destiny2_content/icons/5d7ff61746d3ce613b3bb3d4667e6d2a.jpg
71,Cloudstrike,-,Exotic,Energy,SniperRifle,4.7,4.2,https://www.light.gg/db/items/2603483885,https://www.bungie.net/common/destiny2_content/icons/ce45921edb8e35a249f2c6f5b3abaab5.jpg
72,Riskrunner,-,Exotic,Energy,SubmachineGun,4.7,3.2,https://www.light.gg/db/items/3089417789,https://www.bungie.net/common/destiny2_content/icons/0b7fa10956ee9f16899ce1838c3c0e31.jpg
73,Tarrabah,-,Exotic,Energy,SubmachineGun,4,4.1,https://www.light.gg/db/items/3110698812,https://www.bungie.net/common/destiny2_content/icons/88ea7e35e14f29c4cda6588cb258333b.jpg
74,The Manticore,-,Exotic,Energy,SubmachineGun,3.1,3.6,https://www.light.gg/db/items/219145368,https://www.bungie.net/common/destiny2_content/icons/b52c06c2497831876503dbbe795b1e59.jpg
75,Coldheart,-,Exotic,Energy,TraceRifle,4.2,3.4,https://www.light.gg/db/items/1345867571,https://www.bungie.net/common/destiny2_content/icons/2a2a95b819312fc6fef728911cfd6fa2.jpg
76,Divinity,-,Exotic,Energy,TraceRifle,4.8,3.8,https://www.light.gg/db/items/4103414242,https://www.bungie.net/common/destiny2_content/icons/c6aa03536fd68b5fca5ad6b83ea0cf1e.jpg
77,Prometheus Lens,-,Exotic,Energy,TraceRifle,4.7,3.2,https://www.light.gg/db/items/19024058,https://www.bungie.net/common/destiny2_content/icons/76817c6b9ad482a19a180819fbe85def.jpg
78,Ruinous Effigy,-,Exotic,Energy,TraceRifle,4.7,3.1,https://www.light.gg/db/items/1363238943,https://www.bungie.net/common/destiny2_content/icons/8787b1c97fe674d51a0450ba546ddb4b.jpg
79,Wavesplitter,-,Exotic,Energy,TraceRifle,4.2,4.6,https://www.light.gg/db/items/1852863732,https://www.bungie.net/common/destiny2_content/icons/ba5b1654cbc06d0ce057f5d99b315b7e.jpg
80,Leviathan's Breath,-,Exotic,Power,CombatBow,4.4,4.1,https://www.light.gg/db/items/2591746970,https://www.bungie.net/common/destiny2_content/icons/fd892bb713040300ad944590892b0e50.jpg
81,One Thousand Voices,-,Exotic,Power,FusionRifle,4.7,4.5,https://www.light.gg/db/items/2069224589,https://www.bungie.net/common/destiny2_content/icons/51c53df606cca474dce3cadbf7d5ce28.jpg
82,Winterbite,-,Exotic,Power,Glaive,4,3.3,https://www.light.gg/db/items/3118061004,https://www.bungie.net/common/destiny2_content/icons/fdc14f2b28c77f9627f0629fdb540b76.jpg
83,Anarchy,-,Exotic,Power,GrenadeLauncher,4.5,1.8,https://www.light.gg/db/items/2376481550,https://www.bungie.net/common/destiny2_content/icons/f24e3336a1142847d6bf47b56b492eea.jpg
84,Parasite,-,Exotic,Power,GrenadeLauncher,4.8,2.3,https://www.light.gg/db/items/2812324400,https://www.bungie.net/common/destiny2_content/icons/0a71a14d8614d619a40649f09b28b466.jpg
85,Salvation's Grip,-,Exotic,Power,GrenadeLauncher,3.6,1.9,https://www.light.gg/db/items/370712896,https://www.bungie.net/common/destiny2_content/icons/f7a37e909fe6f923501f2175dc3784b6.jpg
86,The Colony,-,Exotic,Power,GrenadeLauncher,3.6,4.5,https://www.light.gg/db/items/3899270607,https://www.bungie.net/common/destiny2_content/icons/3ae064e4a93ea26a394ff35171193eed.jpg
87,The Prospector,-,Exotic,Power,GrenadeLauncher,3.7,2,https://www.light.gg/db/items/3549153979,https://www.bungie.net/common/destiny2_content/icons/09e0e23b932b8b713549ce8d8f4c5f4d.jpg
88,Sleeper Simulant,-,Exotic,Power,LinearFusionRifle,4.9,3.8,https://www.light.gg/db/items/4036115577,https://www.bungie.net/common/destiny2_content/icons/af232d6f94c12a4cf1080e659264294f.jpg
89,The Queenbreaker,-,Exotic,Power,LinearFusionRifle,2.9,3.8,https://www.light.gg/db/items/2044500762,https://www.bungie.net/common/destiny2_content/icons/cc919daae4f005e9da7f2065fe8e29c4.jpg
90,Deterministic Chaos,-,Exotic,Power,MachineGun,3.6,1.9,https://www.light.gg/db/items/449318888,https://www.bungie.net/common/destiny2_content/icons/d657cc9dae47ecaec19038f18f335c18.jpg
91,Grand Overture,-,Exotic,Power,MachineGun,2.8,1.5,https://www.light.gg/db/items/1763584999,https://www.bungie.net/common/destiny2_content/icons/bc76e54c9cd266c09d8e08036ebcfd42.jpg
92,Heir Apparent,-,Exotic,Power,MachineGun,4.3,4.1,https://www.light.gg/db/items/2084878005,https://www.bungie.net/common/destiny2_content/icons/273379dd44efda777c53b3902a3a1eee.jpg
93,Thunderlord,-,Exotic,Power,MachineGun,4.7,4.2,https://www.light.gg/db/items/3325463374,https://www.bungie.net/common/destiny2_content/icons/4a08027f7b5752f84d183ecc61682c3e.jpg
94,Xenophage,-,Exotic,Power,MachineGun,3.9,3,https://www.light.gg/db/items/1395261499,https://www.bungie.net/common/destiny2_content/icons/de34570a93281dc201690cfd146e6d24.jpg
95,Deathbringer,-,Exotic,Power,RocketLauncher,4.1,4.5,https://www.light.gg/db/items/2232171099,https://www.bungie.net/common/destiny2_content/icons/5cb4c8ec3cabaaa6a29ac7513ee30ca0.jpg
96,Eyes of Tomorrow,-,Exotic,Power,RocketLauncher,4.5,4.3,https://www.light.gg/db/items/2399110176,https://www.bungie.net/common/destiny2_content/icons/9caeff89015f02ad52e6fefe95398b01.jpg
97,Gjallarhorn,-,Exotic,Power,RocketLauncher,4.7,4.2,https://www.light.gg/db/items/1363886209,https://www.bungie.net/common/destiny2_content/icons/b62083eed6a4708e581fc9a061bcc8e9.jpg
98,The Wardcliff Coil,-,Exotic,Power,RocketLauncher,4,4.5,https://www.light.gg/db/items/1508896098,https://www.bungie.net/common/destiny2_content/icons/06d12929d1866159aca5cdb60282f908.jpg
99,Truth,-,Exotic,Power,RocketLauncher,2.3,4.2,https://www.light.gg/db/items/1201830623,https://www.bungie.net/common/destiny2_content/icons/b5021df721b66b6ab71e73b23e7b5392.jpg
100,Two-Tailed Fox,-,Exotic,Power,RocketLauncher,4.1,3.6,https://www.light.gg/db/items/2694576561,https://www.bungie.net/common/destiny2_content/icons/c065e1c0d03d9648fcad7762031eede9.jpg
101,Legend of Acrius,-,Exotic,Power,Shotgun,4.6,4.3,https://www.light.gg/db/items/3580904580,https://www.bungie.net/common/destiny2_content/icons/6de5f786f39bf827de8490e97b672ddb.jpg
102,Legend of Acrius,-,Exotic,Power,Shotgun,5,5,https://www.light.gg/db/items/1744115122,https://www.bungie.net/common/destiny2_content/icons/6de5f786f39bf827de8490e97b672ddb.jpg
103,Tractor Cannon,-,Exotic,Power,Shotgun,4.9,4.5,https://www.light.gg/db/items/3580904581,https://www.bungie.net/common/destiny2_content/icons/6afd31f787ff68d32e1f574686494606.jpg
104,D.A.R.C.I.,-,Exotic,Power,SniperRifle,3.1,2.2,https://www.light.gg/db/items/3141979346,https://www.bungie.net/common/destiny2_content/icons/eec16138c9fe69ff0b5d6c213e5cabb6.jpg
105,Whisper of the Worm,-,Exotic,Power,SniperRifle,4.9,2.6,https://www.light.gg/db/items/1891561814,https://www.bungie.net/common/destiny2_content/icons/e47c31826843f6fd0aa863eac6fd093e.jpg
106,Black Talon,-,Exotic,Power,Sword,3.8,4,https://www.light.gg/db/items/3766045777,https://www.bungie.net/common/destiny2_content/icons/b40fd2d06867196af70a4bce290f15fc.jpg
107,Heartshadow,-,Exotic,Power,Sword,4.2,2.3,https://www.light.gg/db/items/3664831848,https://www.bungie.net/common/destiny2_content/icons/94c6933727fa885fb2002a8c7aee5e42.jpg
108,The Lament,-,Exotic,Power,Sword,4.9,3.6,https://www.light.gg/db/items/3487253372,https://www.bungie.net/common/destiny2_content/icons/f6844ca3eb572c546e97a340c24531d5.jpg
109,Worldline Zero,-,Exotic,Power,Sword,1.9,2,https://www.light.gg/db/items/1864563948,https://www.bungie.net/common/destiny2_content/icons/b1f0b22d4c7ffa680f84381b5a4a2e02.jpg
110,Crown-Splitter,Titan,Legendary,Power,Sword,4.8,3.2,https://www.light.gg/db/items/2782325302,https://www.bungie.net/common/destiny2_content/icons/98a3ea161c6c591d523636bf83491997.jpg
111,Crown-Splitter,Titan,Legendary,Power,Sword,4,2,https://www.light.gg/db/items/1180270694,https://www.bungie.net/common/destiny2_content/icons/98a3ea161c6c591d523636bf83491997.jpg
112,Throne-Cleaver,Titan,Legendary,Power,Sword,5,2.7,https://www.light.gg/db/items/569799273,https://www.bungie.net/common/destiny2_content/icons/2c551c6b35d38608c0b6287e1ebe1ec0.jpg
113,Throne-Cleaver,Titan,Legendary,Power,Sword,4,3,https://www.light.gg/db/items/3371413059,https://www.bungie.net/common/destiny2_content/icons/2c551c6b35d38608c0b6287e1ebe1ec0.jpg
114,Goldtusk,Hunter,Legendary,Power,Sword,5,2.8,https://www.light.gg/db/items/569799275,https://www.bungie.net/common/destiny2_content/icons/8735d9b7b4ca360356b704a752b3efb5.jpg
115,Goldtusk,Hunter,Legendary,Power,Sword,4.6,3.6,https://www.light.gg/db/items/3371413057,https://www.bungie.net/common/destiny2_content/icons/8735d9b7b4ca360356b704a752b3efb5.jpg
116,Quickfang,Hunter,Legendary,Power,Sword,4.8,4,https://www.light.gg/db/items/2782325300,https://www.bungie.net/common/destiny2_content/icons/05e475c998f7afc191b1aba4114de370.jpg
117,Quickfang,Hunter,Legendary,Power,Sword,1.5,4,https://www.light.gg/db/items/1180270692,https://www.bungie.net/common/destiny2_content/icons/05e475c998f7afc191b1aba4114de370.jpg
118,Death's Razor,Warlock,Legendary,Power,Sword,5,3,https://www.light.gg/db/items/569799274,https://www.bungie.net/common/destiny2_content/icons/8b97dae4f5ae0e71b6271adfd478b8d7.jpg
119,Death's Razor,Warlock,Legendary,Power,Sword,4.3,3.4,https://www.light.gg/db/items/3371413056,https://www.bungie.net/common/destiny2_content/icons/8b97dae4f5ae0e71b6271adfd478b8d7.jpg
120,Eternity's Edge,Warlock,Legendary,Power,Sword,3.8,3.3,https://www.light.gg/db/items/2782325301,https://www.bungie.net/common/destiny2_content/icons/db84dfbb8cc5045c401583367df23276.jpg
121,Eternity's Edge,Warlock,Legendary,Power,Sword,5,5,https://www.light.gg/db/items/1180270693,https://www.bungie.net/common/destiny2_content/icons/db84dfbb8cc5045c401583367df23276.jpg
122,BrayTech Werewolf,-,Legendary,Kinetic,AutoRifle,4,4.3,https://www.light.gg/db/items/2869466318,https://www.bungie.net/common/destiny2_content/icons/ac890023b9363dd595a5af5f7ecf5e88.jpg
123,BrayTech Werewolf,-,Legendary,Kinetic,AutoRifle,3.6,2.8,https://www.light.gg/db/items/528834068,https://www.bungie.net/common/destiny2_content/icons/ac890023b9363dd595a5af5f7ecf5e88.jpg
124,BrayTech Winter Wolf,-,Legendary,Kinetic,AutoRifle,2.8,2.2,https://www.light.gg/db/items/1752585070,https://www.bungie.net/common/destiny2_content/icons/9ad45ede4dfe8b45667b6705d9c36063.jpg
125,Breakneck,-,Legendary,Kinetic,AutoRifle,4.8,2.9,https://www.light.gg/db/items/324382200,https://www.bungie.net/common/destiny2_content/icons/cb964db256a165ad15a67cab852167d0.jpg
126,Chroma Rush,-,Legendary,Kinetic,AutoRifle,4.8,4.2,https://www.light.gg/db/items/1119734784,https://www.bungie.net/common/destiny2_content/icons/7393c216e3b437571e64f78a613dc181.jpg
127,Duty Bound,-,Legendary,Kinetic,AutoRifle,4.6,3.4,https://www.light.gg/db/items/435216110,https://www.bungie.net/common/destiny2_content/icons/ea66ccd934bd0a90d2d9888bb4750727.jpg
128,Duty Bound,-,Legendary,Kinetic,AutoRifle,3.3,4,https://www.light.gg/db/items/1457979868,https://www.bungie.net/common/destiny2_content/icons/e43645f3b6e5ebea84bfb36e4988dfb1.jpg
129,Duty Bound (Adept),-,Legendary,Kinetic,AutoRifle,4,2.6,https://www.light.gg/db/items/1135050595,https://www.bungie.net/common/destiny2_content/icons/e43645f3b6e5ebea84bfb36e4988dfb1.jpg
130,Ether Doctor,-,Legendary,Kinetic,AutoRifle,3.8,4.3,https://www.light.gg/db/items/1839565992,https://www.bungie.net/common/destiny2_content/icons/dec4e8f64fce3f5d9ee751b59a52ecba.jpg
131,False Promises,-,Legendary,Kinetic,AutoRifle,4.7,4.2,https://www.light.gg/db/items/3143732432,https://www.bungie.net/common/destiny2_content/icons/9687565cf78078e2277d8aeecae93c59.jpg
132,Firefright,-,Legendary,Kinetic,AutoRifle,3,3.1,https://www.light.gg/db/items/2778013407,https://www.bungie.net/common/destiny2_content/icons/78de754b509d75fb24b1e3671f59fe10.jpg
133,Foregone Conclusion,-,Legendary,Kinetic,AutoRifle,4,4,https://www.light.gg/db/items/1137768695,https://www.bungie.net/common/destiny2_content/icons/fa81f646bc10485fe9eff5e7a05a800d.jpg
134,Gahlran's Right Hand,-,Legendary,Kinetic,AutoRifle,4,3.5,https://www.light.gg/db/items/1286686760,https://www.bungie.net/common/destiny2_content/icons/25114e19e04692005e46509e6055cc48.jpg
135,Ghost Primus,-,Legendary,Kinetic,AutoRifle,4,3,https://www.light.gg/db/items/2505533224,https://www.bungie.net/common/destiny2_content/icons/6cb301481212e5c058b0c87dae1317de.jpg
